zip,electricity_price
501,0.156103779
544,0.156103779
1002,0.181741013
1005,0.181741013
1007,0.181741013
1009,0.181741013
1010,0.181741013
1012,0.181741013
1013,0.130937856
1014,0.125910273
1020,0.130937856
1021,0.125910273
1022,0.125910273
1026,0.181741013
1027,0.166482489
1028,0.181741013
1030,0.144543657
1031,0.181741013
1032,0.181741013
1033,0.163130766
1035,0.181741013
1036,0.181741013
1037,0.181741013
1038,0.181741013
1039,0.181741013
1040,0.135473123
1041,0.13596544
1053,0.181741013
1054,0.181741013
1056,0.163130766
1057,0.181741013
1060,0.181741013
1061,0.181741013
1062,0.166482489
1063,0.181741013
1068,0.181741013
1069,0.181741013
1070,0.181741013
1071,0.144543657
1072,0.181741013
1073,0.140254548
1074,0.181741013
1075,0.156339435
1077,0.144543657
1079,0.181741013
1080,0.181741013
1081,0.181741013
1082,0.181741013
1083,0.181741013
1085,0.140254548
1086,0.144543657
1088,0.181741013
1089,0.135473123
1092,0.181741013
1094,0.181741013
1095,0.181741013
1096,0.181741013
1104,0.125910273
1106,0.181741013
1107,0.125910273
1108,0.181741013
1116,0.181741013
1118,0.181741013
1128,0.181741013
1129,0.181741013
1151,0.163130766
1201,0.181741013
1220,0.181741013
1222,0.181741013
1225,0.181741013
1229,0.181741013
1230,0.181741013
1236,0.181741013
1237,0.181741013
1238,0.181741013
1240,0.181741013
1244,0.181741013
1245,0.181741013
1247,0.181741013
1252,0.181741013
1254,0.181741013
1255,0.181741013
1256,0.181741013
1257,0.181741013
1258,0.181741013
1259,0.181741013
1262,0.181741013
1263,0.181741013
1266,0.181741013
1267,0.181741013
1330,0.181741013
1331,0.181741013
1339,0.181741013
1340,0.181741013
1341,0.181741013
1343,0.181741013
1344,0.181741013
1346,0.181741013
1349,0.181741013
1350,0.181741013
1351,0.181741013
1355,0.181741013
1360,0.181741013
1364,0.181741013
1366,0.181741013
1367,0.181741013
1368,0.181741013
1370,0.181741013
1373,0.181741013
1378,0.181741013
1379,0.181741013
1380,0.181741013
1420,0.187312204
1430,0.187312204
1431,0.192883394
1432,0.163183913
1434,0.181741013
1436,0.181741013
1440,0.181741013
1441,0.181741013
1450,0.175063705
1451,0.151247103
1452,0.181741013
1453,0.180529096
1460,0.16498429
1462,0.187312204
1463,0.187312204
1464,0.187312204
1467,0.181741013
1468,0.181741013
1469,0.187312204
1473,0.187312204
1474,0.192883394
1475,0.181741013
1477,0.181741013
1501,0.181741013
1503,0.159639566
1504,0.181741013
1505,0.16165905
1506,0.181741013
1507,0.181741013
1508,0.181741013
1509,0.181741013
1510,0.172292897
1515,0.181741013
1516,0.181741013
1518,0.181741013
1519,0.181741013
1520,0.181741013
1521,0.181741013
1522,0.181741013
1523,0.180529096
1524,0.181741013
1525,0.181741013
1526,0.181741013
1527,0.181741013
1529,0.181741013
1531,0.181741013
1532,0.16165905
1534,0.181741013
1535,0.181741013
1536,0.16165905
1537,0.181741013
1538,0.181741013
1540,0.181741013
1541,0.172292897
1542,0.181741013
1543,0.181741013
1545,0.16165905
1546,0.121495125
1550,0.181741013
1560,0.181741013
1561,0.181741013
1562,0.181741013
1564,0.172292897
1566,0.181741013
1568,0.174712935
1569,0.181741013
1570,0.181741013
1571,0.181741013
1581,0.164069373
1583,0.172292897
1585,0.181741013
1586,0.181741013
1588,0.181741013
1590,0.181741013
1601,0.181741013
1602,0.181741013
1603,0.181741013
1604,0.16165905
1605,0.16165905
1606,0.16165905
